PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409195,31,15,5,2,245.949907,0,267.011944,262.365936,245.949907,1,1991,.Spr,1991.Spr,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409196,31,15,5,3,0,234.715307,245.949907,239.555209,234.715307,2,1991,.Sum,1991.Sum,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409197,31,15,5,4,141.335798,0,150.301002,141.343062,141.335798,3,1991,.Fall,1991.Fall,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409199,31,16,4,2,131.618819,0,156.552691,150.838518,131.618819,1,1991,.Spr,1991.Spr,CHINOOK,5,3,6,M-SnohFYr,Marked Snohomish Fall Year
3409200,31,16,4,3,21.725811,91.694101,131.618819,124.471918,113.419912,2,1991,.Sum,1991.Sum,CHINOOK,5,3,6,M-SnohFYr,Marked Snohomish Fall Year
3409201,31,16,5,4,20.429903,0,21.725811,20.430953,20.429903,3,1991,.Fall,1991.Fall,CHINOOK,5,3,6,M-SnohFYr,Marked Snohomish Fall Year
3409203,31,17,2,2,2447.873129,0,2671.896878,2453.870093,2447.873129,1,1991,.Spr,1991.Spr,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409204,31,17,2,3,2055.145756,44.843163,2447.873129,2154.373141,2099.988919,2,1991,.Sum,1991.Sum,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409205,31,17,2,4,2507.928416,0,3755.428296,2787.654424,2507.928416,3,1991,.Fall,1991.Fall,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409207,31,17,3,2,1445.689862,0.069396,1580.585526,1489.385741,1445.759258,1,1991,.Spr,1991.Spr,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409208,31,17,3,3,820.391065,273.861996,1445.689862,1322.372516,1094.253061,2,1991,.Sum,1991.Sum,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409209,31,17,3,4,1317.482221,0,2055.145756,1669.189383,1317.482221,3,1991,.Fall,1991.Fall,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409211,31,17,4,2,725.602916,0,776.351639,748.014804,725.602916,1,1991,.Spr,1991.Spr,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409212,31,17,4,3,22.264503,648.595538,725.602916,686.202678,670.860041,2,1991,.Sum,1991.Sum,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409213,31,17,4,4,245.654502,0,820.391065,720.221316,245.654502,3,1991,.Fall,1991.Fall,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409215,31,17,5,2,96.831453,0,98.546157,96.831453,96.831453,1,1991,.Spr,1991.Spr,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409216,31,17,5,3,0,94.313836,96.831453,94.313836,94.313836,2,1991,.Sum,1991.Sum,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409217,31,17,5,4,19.166917,0,22.264503,20.937539,19.166917,3,1991,.Fall,1991.Fall,CHINOOK,5,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing
3409219,31,18,2,2,2607.08439,0,2845.678789,2613.4714,2607.08439,1,1991,.Spr,1991.Spr,CHINOOK,5,3,10,M-Stil FF,Marked Stillaguamish Fall Fing
3409220,31,18,2,3,2188.813772,47.759792,2607.08439,2294.494972,2236.573564,2,1991,.Sum,1991.Sum,CHINOOK,5,3,10,M-Stil FF,Marked Stillaguamish Fall Fing
